Date,Total no. of bills,Total Sales,Cash,Card,Due Payment,Other
2023-04-01,12.00,3935.00,1050.00,1105.00,0.00,1780.00
2023-04-02,7.00,5352.00,3650.00,0.00,0.00,1702.00
2023-04-03,12.00,4275.00,3880.00,0.00,0.00,395.00
2023-04-04,19.00,12285.00,9060.00,500.00,0.00,2725.00
2023-04-05,13.00,3190.00,1679.00,0.00,0.00,1511.00
2023-04-06,14.00,4411.00,3571.00,500.00,0.00,340.00
2023-04-07,14.00,3455.00,3020.00,0.00,0.00,435.00
2023-04-08,9.00,5802.00,5762.00,0.00,0.00,40.00
2023-04-09,6.00,6269.00,5839.00,0.00,0.00,430.00
2023-04-10,4.00,1410.00,1410.00,0.00,0.00,0.00
2023-04-11,7.00,2533.00,698.00,0.00,0.00,1835.00
2023-04-12,12.00,3699.00,3699.00,0.00,0.00,0.00
2023-04-13,13.00,3508.00,3508.00,0.00,0.00,0.00
2023-04-14,21.00,6320.00,3613.00,0.00,98.00,2609.00
2023-04-15,16.00,7292.00,3476.00,305.00,1747.00,1764.00
2023-04-16,13.00,6492.00,4590.00,1210.00,0.00,692.00
2023-04-17,14.00,6749.00,3395.00,0.00,1580.00,1774.00
2023-04-18,13.00,5860.00,1480.00,1390.00,2116.00,874.00
2023-04-19,19.00,8870.00,1840.00,0.00,3230.00,3800.00
2023-04-20,16.00,4152.00,2030.00,930.00,0.00,1192.00
2023-04-21,19.00,5315.00,1010.00,160.00,550.00,3595.00
2023-04-22,18.00,5578.00,2240.00,380.00,0.00,2958.00
2023-04-23,8.00,3528.00,269.00,1279.00,840.00,1140.00
2023-04-24,21.00,5475.00,3355.00,0.00,790.00,1330.00
2023-04-25,20.00,7792.00,2695.00,890.00,0.00,4207.00
2023-04-26,20.00,6849.00,1953.00,2216.00,210.00,2470.00
2023-04-27,22.00,6599.00,250.00,440.00,0.00,5909.00
2023-04-28,14.00,5665.00,1105.00,0.00,1560.00,3000.00
2023-04-29,17.00,5252.00,2018.00,510.00,1204.00,1520.00
2023-04-30,8.00,7344.00,250.00,0.00,3554.00,3540.00
,421,165256,82395,11815,17479,53567
