Date,Total no. of bills,Total Sales,Cash,Card,Due Payment,Other
2023-08-01,17.00,5539.00,3859.00,0.00,0.00,1680.00
2023-08-02,20.00,11401.00,9017.00,0.00,140.00,2244.00
2023-08-03,19.00,5639.00,1020.00,0.00,2250.00,2369.00
2023-08-04,14.00,7609.00,6100.00,0.00,180.00,1329.00
2023-08-05,26.00,16137.00,2218.00,0.00,7730.00,6189.00
2023-08-06,9.00,4888.00,0.00,1919.00,0.00,2969.00
2023-08-07,24.00,7646.00,4070.00,0.00,1470.00,2106.00
2023-08-08,23.00,8009.00,3750.00,0.00,719.00,3540.00
2023-08-09,19.00,3695.00,839.00,0.00,420.00,2436.00
2023-08-10,18.00,5983.00,1013.00,1080.00,469.00,3421.00
2023-08-11,30.00,7911.00,4904.00,0.00,399.00,2608.00
2023-08-12,12.00,4638.00,3858.00,0.00,600.00,180.00
2023-08-13,12.00,4260.00,1909.00,0.00,0.00,2351.00
2023-08-14,25.00,6613.00,4295.00,0.00,0.00,2318.00
2023-08-15,12.00,5322.00,4424.00,0.00,0.00,898.00
2023-08-16,15.00,3837.00,3548.00,0.00,0.00,289.00
2023-08-17,16.00,4807.00,2799.00,0.00,310.00,1698.00
2023-08-18,12.00,4488.00,3198.00,0.00,0.00,1290.00
2023-08-19,28.00,14359.00,9042.00,0.00,669.00,4648.00
2023-08-20,6.00,3751.00,3751.00,0.00,0.00,0.00
2023-08-21,21.00,5510.00,2448.00,0.00,507.00,2555.00
2023-08-22,22.00,6900.00,5560.00,0.00,0.00,1340.00
2023-08-23,15.00,7501.00,1379.00,99.00,0.00,6023.00
2023-08-24,16.00,3433.00,1099.00,440.00,0.00,1894.00
2023-08-25,17.00,7247.00,6807.00,0.00,0.00,440.00
2023-08-26,28.00,15692.00,6347.00,0.00,957.00,8388.00
2023-08-27,5.00,990.00,990.00,0.00,0.00,0.00
2023-08-28,15.00,5722.00,2598.00,520.00,0.00,2604.00
2023-08-29,18.00,8749.00,5255.00,1059.00,400.00,2035.00
2023-08-30,13.00,4709.00,3439.00,0.00,30.00,1240.00
2023-08-31,13.00,2888.00,920.00,0.00,300.00,1668.00
,540,205873,110456,5117,17550,72750
