Date,Total no. of bills,Total Sales,Cash,Card,Due Payment,Other
2023-12-01,16.00,4702.00,748.00,360.00,0.00,3594.00
2023-12-02,20.00,9338.00,1718.00,738.00,0.00,6882.00
2023-12-03,10.00,4789.00,1479.00,0.00,0.00,3310.00
2023-12-04,21.00,6173.00,2267.00,0.00,0.00,3906.00
2023-12-05,13.00,15341.00,849.00,259.00,170.00,14063.00
2023-12-06,15.00,3985.00,758.00,0.00,0.00,3227.00
2023-12-07,28.00,11689.00,1319.00,410.00,0.00,9960.00
2023-12-08,23.00,9473.00,3925.00,230.00,0.00,5318.00
2023-12-09,27.00,10047.00,1982.00,399.00,0.00,7666.00
2023-12-10,9.00,5322.00,5032.00,0.00,0.00,290.00
2023-12-11,18.00,5114.00,2937.00,0.00,0.00,2177.00
2023-12-12,20.00,5759.00,279.00,0.00,0.00,5480.00
2023-12-13,21.00,6845.00,609.00,0.00,0.00,6236.00
2023-12-14,21.00,7985.00,3190.00,490.00,0.00,4305.00
2023-12-15,26.00,12364.00,767.00,584.00,0.00,11013.00
2023-12-16,24.00,10244.00,2996.00,0.00,0.00,7248.00
2023-12-17,10.00,4775.00,4775.00,0.00,0.00,0.00
2023-12-18,18.00,7418.00,4917.00,0.00,0.00,2501.00
2023-12-19,26.00,6262.00,2057.00,0.00,0.00,4205.00
2023-12-20,20.00,6526.00,2887.00,249.00,0.00,3390.00
2023-12-21,22.00,5903.00,1369.00,1239.00,0.00,3295.00
2023-12-22,27.00,21957.00,14701.00,1951.00,0.00,5305.00
2023-12-23,14.00,8965.00,5063.00,0.00,0.00,3902.00
2023-12-24,11.00,4487.00,3260.00,0.00,0.00,1227.00
2023-12-25,15.00,8570.00,3981.00,0.00,0.00,4589.00
2023-12-26,20.00,7463.00,1158.00,0.00,200.00,6105.00
2023-12-27,21.00,7512.00,3358.00,0.00,0.00,4154.00
2023-12-28,27.00,10045.00,4168.00,0.00,290.00,5587.00
2023-12-29,20.00,7010.00,1630.00,0.00,259.00,5121.00
2023-12-30,30.00,14921.00,1848.00,0.00,1909.00,11164.00
2023-12-31,8.00,6640.00,4116.00,0.00,0.00,2524.00
,601,257624,90143,6909,2828,157744
