Date,Total no. of bills,Total Sales,Cash,Card,Due Payment,Other
2024-02-01,18.00,53166.00,48478.00,1500.00,0.00,3188.00
2024-02-02,19.00,7744.00,4026.00,0.00,0.00,3718.00
2024-02-03,16.00,5331.00,2373.00,0.00,0.00,2958.00
2024-02-04,6.00,3219.00,3219.00,0.00,0.00,0.00
2024-02-05,19.00,3676.00,589.00,0.00,0.00,3087.00
2024-02-06,20.00,4589.00,2436.00,0.00,0.00,2153.00
2024-02-07,28.00,12188.00,7253.00,0.00,2172.00,2763.00
2024-02-08,27.00,13278.00,5807.00,0.00,0.00,7471.00
2024-02-09,21.00,7926.00,4190.00,0.00,0.00,3736.00
2024-02-10,32.00,11846.00,2900.00,480.00,0.00,8466.00
2024-02-11,13.00,5090.00,1459.00,0.00,0.00,3631.00
2024-02-12,18.00,5437.00,3560.00,378.00,0.00,1499.00
2024-02-13,26.00,10109.00,4519.00,750.00,0.00,4840.00
2024-02-14,27.00,10114.00,4529.00,720.00,0.00,4865.00
2024-02-15,38.00,11493.00,4920.00,215.00,0.00,6358.00
2024-02-16,28.00,8384.00,290.00,829.00,0.00,7265.00
2024-02-17,20.00,9489.00,2707.00,0.00,0.00,6782.00
2024-02-18,2.00,1389.00,0.00,0.00,0.00,1389.00
2024-02-19,31.00,14004.00,573.00,0.00,297.00,13134.00
2024-02-20,25.00,8785.00,1150.00,0.00,0.00,7635.00
2024-02-21,23.00,6758.00,1137.00,0.00,0.00,5621.00
2024-02-22,25.00,8692.00,2069.00,0.00,0.00,6623.00
2024-02-23,24.00,10552.00,3199.00,0.00,0.00,7353.00
2024-02-24,19.00,6205.00,3797.00,0.00,0.00,2408.00
2024-02-25,5.00,3330.00,3330.00,0.00,0.00,0.00
2024-02-26,30.00,8836.00,4162.00,0.00,0.00,4674.00
2024-02-27,22.00,7455.00,2408.00,0.00,0.00,5047.00
2024-02-28,25.00,7310.00,120.00,0.00,0.00,7190.00
2024-02-29,32.00,11585.00,6149.00,0.00,0.00,5436.00
,639,277980,131349,4872,2469,139290
