Item,Category,Qty.,Total (₹)
Customized Dish,Extras,494.00,37861.00
Masala Tea (Half),Hot,401.00,4010.00
Chapati (Butter),Indian Bread,201.00,4020.00
Aamras,Extras,111.00,5439.00
Chapati (Plain),Indian Bread,111.00,1665.00
Masala Chaas,Extras,103.00,2060.00
Meal For The Day,Extras,99.00,13860.00
Mineral Water,Extras,95.00,1310.00
Hot Coffee (Half),Hot,77.00,1155.00
Soft Drink,Extras,61.00,1438.00
Aloo Paratha.,Extras,37.00,2960.00
3 Sister,Extras,27.00,2700.00
Paratha (Plain),Indian Bread,26.00,780.00
Chapati,Indian Bread,22.00,330.00
Masala Tea (Small),Hot,20.00,400.00
Dal Khichdi,Rice,20.00,2200.00
Paratha (Butter),Indian Bread,18.00,720.00
Manchurian Rice,With Gravy,18.00,3780.00
Steam Rice,Rice,15.00,900.00
Paneer Pataya,Appetizers,14.00,3360.00
Manchurian Schezwan Rice,With Gravy,13.00,2860.00
Thai Soup,Thai Soup,13.00,2340.00
Mix Chopper Rice,With Gravy,13.00,3640.00
Fried Rice,Rice /Noodles,13.00,2210.00
Cold Coffee,Milk Shake,13.00,1300.00
Manchow Soup,Soup,12.00,1440.00
Paneer Fried Rice,Rice /Noodles,12.00,2400.00
Laccha Paratha (Butter),Indian Bread,10.00,600.00
Veg. Pulao,Rice,9.00,1170.00
Dal Tadka,Dal,8.00,1040.00
Schezwan Rice,Rice /Noodles,8.00,1440.00
Paneer Mangolian,Appetizers,8.00,1920.00
Cheese Garlic Bread,Bites,8.00,1200.00
Paneer Chilly,Gravies,8.00,1520.00
Dal Makhani,Dal,8.00,1280.00
Hazelnut Cold Coffee,Milk Shake,8.00,1040.00
Hakka Noodles,Rice /Noodles,7.00,1190.00
Veg Manchurian Dry,Starters,7.00,1260.00
Peri Peri Maggi,Extras,7.00,770.00
Schezwan Noodles,Rice /Noodles,7.00,1260.00
Kadhai Panner,Sp. Indian Gravies,7.00,1190.00
Misal Pav,Extras,7.00,560.00
Paneer Crispy,Starters,7.00,1400.00
Chocolate Shake,Milk Shake,7.00,910.00
Hot Coffee (Small),Hot,7.00,280.00
Triple Schezwan Rice,With Gravy,7.00,1890.00
Tandoori Roti (Plain),Indian Bread,6.00,150.00
Mix Bamboo Rice,Thai Rice /Noodle,6.00,2040.00
Margherita Pizza (Small),Pizza,6.00,840.00
Triple Rice,With Gravy,6.00,1560.00
Laccha Paratha (Plain),Indian Bread,6.00,300.00
Virgin Mojito,Cold,5.00,500.00
Alfredo Pasta,Pasta,5.00,1300.00
Lemon Ice Tea,Cold,5.00,600.00
Jeera Rice,Rice,5.00,450.00
Veg. Kolhapuri,Sabji,5.00,800.00
Paneer Biryani,Rice,5.00,800.00
Veg. Crispy,Starters,5.00,900.00
Lemon Tea,Hot,5.00,150.00
Rosted Papad,Tandoori,5.00,250.00
Cheese Corn Pizza,Pizza,4.00,760.00
Thai Green Curry Rice,Thai Rice /Noodle,4.00,1360.00
Masala Tea (Large),Hot,4.00,140.00
Hot Spicy Bamboo Rice,Thai Rice /Noodle,4.00,1360.00
Hot Chocolate,Hot,4.00,280.00
Irish Creame Cold Coffee,Milk Shake,4.00,520.00
Hot-N-Sour Soup,Soup,4.00,520.00
Pink Pasta,Pasta,4.00,1080.00
Bamboo Special Rice,Thai Rice /Noodle,4.00,1440.00
Veg. Biryani,Rice,4.00,560.00
Thai Mix Rice,Thai Rice /Noodle,3.00,720.00
Dal Fry,Dal,3.00,360.00
Chinese Bhel,Starters,3.00,450.00
Chocolate Coffee,Hot,3.00,195.00
Thai Fried Rice,Thai Rice /Noodle,3.00,630.00
Masala Papad,Tandoori,3.00,180.00
Paneer Manchurian Rice,With Gravy,3.00,690.00
Hong Kong Rice,Rice /Noodles,3.00,540.00
Paneer Pulao,Rice,3.00,450.00
Extra  Butter Pav,Extras,3.00,24.00
Spring Roll,Starters,2.00,360.00
