Date,Total no. of bills,Total Sales,Cash,Card,Due Payment,Other
2024-01-01,16.00,4487.00,955.00,890.00,0.00,2642.00
2024-01-02,23.00,5911.00,1288.00,0.00,110.00,4513.00
2024-01-03,23.00,7473.00,3050.00,0.00,0.00,4423.00
2024-01-04,21.00,5177.00,3393.00,0.00,0.00,1784.00
2024-01-05,31.00,20299.00,2069.00,0.00,13255.00,4975.00
2024-01-06,18.00,5572.00,479.00,370.00,0.00,4723.00
2024-01-07,6.00,2788.00,1418.00,0.00,0.00,1370.00
2024-01-08,22.00,6658.00,1618.00,0.00,0.00,5040.00
2024-01-09,25.00,13087.00,1406.00,0.00,0.00,11681.00
2024-01-10,30.00,12274.00,3095.00,0.00,0.00,9179.00
2024-01-11,14.00,5251.00,4229.00,0.00,0.00,1022.00
2024-01-12,22.00,11275.00,2730.00,2080.00,0.00,6465.00
2024-01-13,12.00,7678.00,2348.00,0.00,0.00,5330.00
2024-01-14,15.00,11347.00,5959.00,0.00,0.00,5388.00
2024-01-15,23.00,9417.00,2359.00,320.00,0.00,6738.00
2024-01-16,22.00,8097.00,1895.00,0.00,120.00,6082.00
2024-01-17,29.00,10166.00,370.00,1000.00,0.00,8796.00
2024-01-18,32.00,10080.00,3873.00,2243.00,0.00,3964.00
2024-01-19,25.00,10083.00,6224.00,0.00,0.00,3859.00
2024-01-20,26.00,12585.00,4736.00,2218.00,0.00,5631.00
2024-01-21,15.00,8020.00,3384.00,1409.00,0.00,3227.00
2024-01-22,20.00,21716.00,15135.00,1250.00,129.00,5202.00
2024-01-23,24.00,5621.00,3712.00,0.00,0.00,1909.00
2024-01-24,18.00,10576.00,6007.00,979.00,0.00,3590.00
2024-01-25,12.00,4158.00,3609.00,0.00,0.00,549.00
2024-01-26,8.00,2120.00,1090.00,0.00,0.00,1030.00
2024-01-27,15.00,6964.00,1769.00,0.00,0.00,5195.00
2024-01-28,8.00,3338.00,2059.00,199.00,0.00,1080.00
2024-01-29,9.00,2217.00,2018.00,0.00,0.00,199.00
2024-01-30,9.00,2313.00,2214.00,0.00,0.00,99.00
2024-01-31,1.00,610.00,610.00,0.00,0.00,0.00
,574,247358,95101,12958,13614,125685
