Date,Total no. of bills,Total Sales,Cash,Card,Due Payment,Other
2023-07-01,18.00,5962.00,5762.00,0.00,0.00,200.00
2023-07-02,10.00,2893.00,2893.00,0.00,0.00,0.00
2023-07-03,24.00,6090.00,6030.00,0.00,0.00,60.00
2023-07-04,26.00,6033.00,5443.00,0.00,590.00,0.00
2023-07-05,23.00,12094.00,12094.00,0.00,0.00,0.00
2023-07-06,23.00,7318.00,1770.00,0.00,1848.00,3700.00
2023-07-07,24.00,5682.00,4252.00,0.00,0.00,1430.00
2023-07-08,37.00,15125.00,1794.00,0.00,3637.00,9694.00
2023-07-09,7.00,3669.00,2629.00,0.00,0.00,1040.00
2023-07-10,23.00,5172.00,3017.00,0.00,140.00,2015.00
2023-07-11,22.00,6733.00,3358.00,0.00,568.00,2807.00
2023-07-12,23.00,6868.00,5369.00,0.00,150.00,1349.00
2023-07-13,27.00,6434.00,3028.00,0.00,508.00,2898.00
2023-07-14,25.00,6608.00,2719.00,0.00,1319.00,2570.00
2023-07-15,19.00,5858.00,4738.00,0.00,0.00,1120.00
2023-07-16,9.00,4754.00,300.00,0.00,0.00,4454.00
2023-07-17,17.00,4659.00,2330.00,0.00,600.00,1729.00
2023-07-18,21.00,4779.00,2049.00,0.00,0.00,2730.00
2023-07-19,27.00,6946.00,4886.00,0.00,620.00,1440.00
2023-07-20,14.00,14342.00,3569.00,0.00,0.00,10773.00
2023-07-21,19.00,6385.00,5775.00,0.00,0.00,610.00
2023-07-22,22.00,9016.00,3629.00,0.00,840.00,4547.00
2023-07-23,10.00,4134.00,2305.00,0.00,440.00,1389.00
2023-07-24,24.00,5639.00,180.00,0.00,570.00,4889.00
2023-07-25,23.00,10238.00,1795.00,4080.00,910.00,3453.00
2023-07-26,28.00,13158.00,4104.00,0.00,810.00,8244.00
2023-07-27,26.00,11612.00,7241.00,0.00,1891.00,2480.00
2023-07-28,21.00,11229.00,140.00,0.00,6687.00,4402.00
2023-07-29,23.00,10635.00,1135.00,0.00,5630.00,3870.00
2023-07-30,7.00,7810.00,3980.00,0.00,0.00,3830.00
2023-07-31,16.00,3379.00,879.00,370.00,150.00,1980.00
,638,231254,109193,4450,27908,89703
