Date,Total no. of bills,Total Sales,Cash,Card,Due Payment,Other
2023-06-01,19.00,13527.00,2405.00,280.00,660.00,10182.00
2023-06-02,27.00,11923.00,8488.00,0.00,1090.00,2345.00
2023-06-03,13.00,4681.00,4532.00,0.00,0.00,149.00
2023-06-04,7.00,5102.00,3357.00,980.00,0.00,765.00
2023-06-05,14.00,3683.00,1175.00,570.00,280.00,1658.00
2023-06-06,35.00,12887.00,2340.00,0.00,2270.00,8277.00
2023-06-07,18.00,6553.00,3473.00,350.00,0.00,2730.00
2023-06-08,17.00,7399.00,3592.00,690.00,1962.00,1155.00
2023-06-09,32.00,14483.00,5793.00,670.00,4480.00,3540.00
2023-06-10,19.00,5844.00,1715.00,0.00,2420.00,1709.00
2023-06-11,4.00,1373.00,1373.00,0.00,0.00,0.00
2023-06-12,19.00,4557.00,2888.00,0.00,470.00,1199.00
2023-06-13,15.00,4274.00,1914.00,545.00,280.00,1535.00
2023-06-14,22.00,5718.00,2153.00,0.00,930.00,2635.00
2023-06-15,24.00,7632.00,2440.00,789.00,650.00,3753.00
2023-06-16,24.00,6483.00,5764.00,0.00,0.00,719.00
2023-06-17,24.00,7900.00,6306.00,0.00,340.00,1254.00
2023-06-18,12.00,5488.00,5488.00,0.00,0.00,0.00
2023-06-19,22.00,6640.00,3560.00,530.00,1050.00,1500.00
2023-06-20,15.00,8485.00,5255.00,0.00,0.00,3230.00
2023-06-21,27.00,7689.00,6420.00,610.00,200.00,459.00
2023-06-22,25.00,9360.00,6581.00,7.00,2042.00,730.00
2023-06-23,32.00,10899.00,4930.00,399.00,2760.00,2810.00
2023-06-24,19.00,6660.00,4740.00,0.00,820.00,1100.00
2023-06-25,6.00,2419.00,650.00,0.00,140.00,1629.00
2023-06-26,26.00,7883.00,6703.00,0.00,630.00,550.00
2023-06-27,26.00,6144.00,4745.00,0.00,900.00,499.00
2023-06-28,31.00,15853.00,8500.00,0.00,5644.00,1709.00
2023-06-29,15.00,5300.00,4250.00,300.00,0.00,750.00
2023-06-30,24.00,6410.00,4622.00,0.00,930.00,858.00
,613,223249,126152,6720,30948,59429
