Date,Total no. of bills,Total Sales,Cash,Card,Due Payment,Other
2023-03-01,8.00,2850.00,1270.00,630.00,0.00,950.00
2023-03-02,4.00,1120.00,220.00,0.00,0.00,900.00
2023-03-03,1.00,810.00,810.00,0.00,0.00,0.00
2023-03-04,11.00,5020.00,3500.00,850.00,340.00,330.00
2023-03-05,5.00,2615.00,0.00,410.00,0.00,2205.00
2023-03-06,5.00,3020.00,2110.00,0.00,0.00,910.00
2023-03-07,3.00,1506.00,0.00,136.00,0.00,1370.00
2023-03-08,4.00,1098.00,1098.00,0.00,0.00,0.00
2023-03-09,2.00,470.00,470.00,0.00,0.00,0.00
2023-03-10,5.00,2025.00,1385.00,0.00,0.00,640.00
2023-03-11,7.00,2617.00,2617.00,0.00,0.00,0.00
2023-03-12,6.00,2600.00,2600.00,0.00,0.00,0.00
2023-03-13,6.00,1832.00,1832.00,0.00,0.00,0.00
2023-03-14,1.00,680.00,680.00,0.00,0.00,0.00
2023-03-15,6.00,1730.00,800.00,0.00,0.00,930.00
2023-03-16,7.00,2005.00,1550.00,0.00,0.00,455.00
2023-03-17,6.00,3600.00,1970.00,0.00,0.00,1630.00
2023-03-18,15.00,9824.00,6512.00,740.00,0.00,2572.00
2023-03-19,6.00,2953.00,2193.00,0.00,0.00,760.00
2023-03-20,5.00,1410.00,1410.00,0.00,0.00,0.00
2023-03-21,11.00,3510.00,2320.00,0.00,0.00,1190.00
2023-03-22,9.00,3078.00,2130.00,0.00,0.00,948.00
2023-03-23,10.00,3180.00,970.00,0.00,0.00,2210.00
2023-03-24,10.00,2753.00,1910.00,0.00,0.00,843.00
2023-03-25,4.00,940.00,940.00,0.00,0.00,0.00
2023-03-26,1.00,220.00,220.00,0.00,0.00,0.00
2023-03-27,7.00,1666.00,1272.00,0.00,0.00,394.00
2023-03-28,16.00,4576.00,4206.00,0.00,0.00,370.00
2023-03-29,13.00,4720.00,1740.00,1240.00,0.00,1740.00
2023-03-30,10.00,3194.00,680.00,0.00,0.00,2514.00
2023-03-31,15.00,4878.00,3115.00,0.00,0.00,1763.00
,219,82500,52530,4006,340,25624
