Date,Total no. of bills,Total Sales,Cash,Card,Due Payment,Other
2023-05-01,10.00,4174.00,1815.00,0.00,0.00,2359.00
2023-05-02,12.00,2402.00,1263.00,0.00,0.00,1139.00
2023-05-03,17.00,5402.00,2279.00,0.00,180.00,2943.00
2023-05-04,17.00,5290.00,2260.00,596.00,220.00,2214.00
2023-05-05,12.00,6598.00,3499.00,0.00,300.00,2799.00
2023-05-06,15.00,6590.00,3279.00,0.00,300.00,3011.00
2023-05-07,7.00,2460.00,730.00,0.00,0.00,1730.00
2023-05-08,22.00,8449.00,4186.00,750.00,887.00,2626.00
2023-05-09,16.00,3990.00,932.00,0.00,560.00,2498.00
2023-05-10,17.00,5456.00,1383.00,0.00,1203.00,2870.00
2023-05-11,16.00,5618.00,779.00,220.00,1087.00,3532.00
2023-05-12,16.00,6962.00,4017.00,0.00,710.00,2235.00
2023-05-13,29.00,13750.00,5530.00,0.00,1440.00,6780.00
2023-05-14,9.00,2542.00,1978.00,320.00,0.00,244.00
2023-05-15,20.00,7293.00,3124.00,0.00,890.00,3279.00
2023-05-16,25.00,9725.00,5114.00,0.00,1859.00,2752.00
2023-05-17,21.00,7257.00,3007.00,330.00,1241.00,2679.00
2023-05-18,17.00,4943.00,3463.00,0.00,0.00,1480.00
2023-05-19,18.00,10845.00,5388.00,1320.00,1438.00,2699.00
2023-05-20,13.00,5666.00,4403.00,0.00,1123.00,140.00
2023-05-21,8.00,3789.00,1623.00,0.00,1250.00,916.00
2023-05-22,15.00,4454.00,1845.00,455.00,552.00,1602.00
2023-05-23,17.00,4571.00,1179.00,1030.00,147.00,2335.00
2023-05-24,15.00,5531.00,4413.00,0.00,409.00,709.00
2023-05-25,26.00,7448.00,3989.00,0.00,1340.00,2119.00
2023-05-26,25.00,7967.00,2654.00,0.00,2405.00,2908.00
2023-05-27,20.00,7545.00,1530.00,0.00,3330.00,2685.00
2023-05-28,4.00,1715.00,905.00,810.00,0.00,0.00
2023-05-29,17.00,6906.00,4518.00,470.00,898.00,1020.00
2023-05-30,24.00,8355.00,5917.00,0.00,1838.00,600.00
2023-05-31,23.00,7639.00,5639.00,0.00,360.00,1640.00
,523,191332,92641,6301,25967,66543
