Date,Total no. of bills,Total Sales,Cash,Card,Due Payment,Other
2023-11-01,17.00,5809.00,400.00,130.00,0.00,5279.00
2023-11-02,24.00,15745.00,9723.00,447.00,3060.00,2515.00
2023-11-03,21.00,6012.00,1860.00,879.00,100.00,3173.00
2023-11-04,19.00,11117.00,1369.00,410.00,200.00,9138.00
2023-11-05,10.00,4083.00,600.00,0.00,1885.00,1598.00
2023-11-06,16.00,4455.00,777.00,0.00,4.00,3674.00
2023-11-07,24.00,6020.00,969.00,0.00,248.00,4803.00
2023-11-08,27.00,11661.00,2237.00,1360.00,100.00,7964.00
2023-11-09,32.00,9665.00,1165.00,1970.00,1059.00,5471.00
2023-11-10,29.00,10543.00,1518.00,0.00,99.00,8926.00
2023-11-11,12.00,5468.00,469.00,1002.00,0.00,3997.00
2023-11-12,12.00,6780.00,2200.00,0.00,0.00,4580.00
2023-11-13,13.00,3710.00,718.00,0.00,0.00,2992.00
2023-11-14,15.00,7291.00,5343.00,0.00,0.00,1948.00
2023-11-15,29.00,10514.00,1537.00,0.00,0.00,8977.00
2023-11-16,15.00,4197.00,1545.00,0.00,0.00,2652.00
2023-11-17,12.00,2697.00,780.00,0.00,0.00,1917.00
2023-11-18,15.00,11857.00,1079.00,0.00,580.00,10198.00
2023-11-19,5.00,2067.00,300.00,0.00,0.00,1767.00
2023-11-20,26.00,6103.00,619.00,0.00,249.00,5235.00
2023-11-21,16.00,5621.00,995.00,0.00,540.00,4086.00
2023-11-22,13.00,2699.00,539.00,0.00,200.00,1960.00
2023-11-23,17.00,5986.00,2087.00,0.00,100.00,3799.00
2023-11-24,11.00,11446.00,8219.00,360.00,0.00,2867.00
2023-11-25,34.00,14879.00,4534.00,295.00,99.00,9951.00
2023-11-26,6.00,2504.00,2504.00,0.00,0.00,0.00
2023-11-27,25.00,7586.00,2532.00,616.00,100.00,4338.00
2023-11-28,18.00,4361.00,1432.00,0.00,0.00,2929.00
2023-11-29,18.00,11540.00,10244.00,0.00,0.00,1296.00
2023-11-30,36.00,18981.00,2055.00,0.00,10420.00,6506.00
,567,231397,70349,7469,19043,134536
