Date,Total no. of bills,Total Sales,Cash,Card,Due Payment,Other
2023-09-01,21.00,7295.00,4699.00,0.00,180.00,2416.00
2023-09-02,28.00,13204.00,11056.00,660.00,180.00,1308.00
2023-09-03,12.00,4988.00,770.00,0.00,0.00,4218.00
2023-09-04,20.00,4420.00,1435.00,0.00,60.00,2925.00
2023-09-05,18.00,5136.00,1906.00,810.00,0.00,2420.00
2023-09-06,29.00,7653.00,1495.00,290.00,0.00,5868.00
2023-09-07,22.00,6979.00,1261.00,0.00,2554.00,3164.00
2023-09-08,35.00,10008.00,3282.00,0.00,180.00,6546.00
2023-09-09,28.00,17990.00,12144.00,1199.00,350.00,4297.00
2023-09-10,8.00,3856.00,0.00,0.00,0.00,3856.00
2023-09-11,28.00,7802.00,2447.00,580.00,30.00,4745.00
2023-09-12,23.00,8841.00,468.00,0.00,4508.00,3865.00
2023-09-13,12.00,3845.00,880.00,0.00,0.00,2965.00
2023-09-14,32.00,9287.00,5253.00,349.00,99.00,3586.00
2023-09-15,24.00,7317.00,3464.00,0.00,0.00,3853.00
2023-09-16,23.00,11097.00,9301.00,300.00,0.00,1496.00
2023-09-17,15.00,11223.00,1960.00,0.00,0.00,9263.00
2023-09-18,17.00,4551.00,3323.00,0.00,120.00,1108.00
2023-09-19,8.00,2005.00,160.00,0.00,0.00,1845.00
2023-09-20,22.00,6982.00,1588.00,0.00,789.00,4605.00
2023-09-21,19.00,5472.00,1741.00,0.00,280.00,3451.00
2023-09-22,20.00,8427.00,519.00,290.00,0.00,7618.00
2023-09-23,17.00,4971.00,1418.00,0.00,380.00,3173.00
2023-09-24,9.00,17070.00,2520.00,0.00,0.00,14550.00
2023-09-25,19.00,5917.00,4269.00,0.00,160.00,1488.00
2023-09-26,26.00,5745.00,2066.00,0.00,149.00,3530.00
2023-09-27,20.00,6027.00,2029.00,0.00,220.00,3778.00
2023-09-28,9.00,1997.00,1368.00,0.00,0.00,629.00
2023-09-29,25.00,7727.00,2246.00,0.00,566.00,4915.00
2023-09-30,24.00,11739.00,3037.00,0.00,0.00,8702.00
,613,229571,88105,4478,10805,126183
