"Restaurant Name",Category,"No. of Orders","Total Items Orders","Net Amount","Total Discount","Total Tax","Total Sales"
SadguruKrupa,Pizza,6,7,"1,140.00",57.00,0.00,"1,083.00"
SadguruKrupa,Pasta,6,6,"1,680.00",58.00,0.00,"1,622.00"
SadguruKrupa,Bites,26,28,"3,670.00",30.00,0.00,"3,640.00"
SadguruKrupa,Momos,16,16,"1,901.00",19.50,0.00,"1,881.50"
SadguruKrupa,Breakfast,17,21,"2,060.00",0.00,0.00,"2,060.00"
SadguruKrupa,Paratha,27,35,"3,280.00",19.50,0.00,"3,260.50"
SadguruKrupa,"Tandoor Starters",4,6,"1,570.00",0.00,0.00,"1,570.00"
SadguruKrupa,Soup,24,31,"4,550.00",38.50,0.00,"4,511.50"
SadguruKrupa,"Chinese Starters",38,48,"9,090.00",41.50,0.00,"9,048.50"
SadguruKrupa,"Chinese Rice",48,64,"10,220.00",0.00,0.00,"10,220.00"
SadguruKrupa,Noodles,22,32,"5,440.00",18.00,0.00,"5,422.00"
SadguruKrupa,"Combination Rice",4,4,760.00,0.00,0.00,760.00
SadguruKrupa,Gravies,4,4,760.00,0.00,0.00,760.00
SadguruKrupa,"Rice With Gravy",29,33,"8,560.00",0.00,0.00,"8,560.00"
SadguruKrupa,"Pot Rice",5,5,"1,560.00",0.00,0.00,"1,560.00"
SadguruKrupa,"Thai Soups",20,30,"5,400.00",18.00,0.00,"5,382.00"
SadguruKrupa,Appetizers,11,14,"3,590.00",351.00,0.00,"3,239.00"
SadguruKrupa,"Thai Rice",10,11,"3,070.00",150.00,0.00,"2,920.00"
SadguruKrupa,"Thai Noodles",2,2,530.00,34.50,0.00,495.50
SadguruKrupa,Hot,17,49,"1,220.00",6.00,0.00,"1,214.00"
SadguruKrupa,Cold,23,34,"1,640.00",0.00,0.00,"1,640.00"
SadguruKrupa,"Milk Shakes",15,21,"2,760.00",28.00,0.00,"2,732.00"
SadguruKrupa,Extras,273,"2,121","64,334.00",547.20,0.00,"63,786.80"
SadguruKrupa,"Rice & Biryani",75,92,"12,570.00",0.00,0.00,"12,570.00"
SadguruKrupa,Dal,26,30,"4,330.00",0.00,0.00,"4,330.00"
SadguruKrupa,"Indian Bread",96,473,"10,915.00",18.75,0.00,"10,896.25"
SadguruKrupa,Papad,26,40,"1,490.00",0.00,0.00,"1,490.00"
SadguruKrupa,"Thai Curry Rice",12,12,"4,080.00",221.00,0.00,"3,859.00"
SadguruKrupa,"Bamboo Rice",24,26,"9,520.00",38.00,0.00,"9,482.00"
SadguruKrupa,Sizzlers,5,6,"2,750.00",167.50,0.00,"2,582.50"
SadguruKrupa,Sanzi,62,69,"14,320.00",0.00,0.00,"14,320.00"
SadguruKrupa,"Pav Bhaji",18,45,"3,210.00",0.00,0.00,"3,210.00"
SadguruKrupa,"Indian Starters",7,7,"1,480.00",66.00,0.00,"1,414.00"
SadguruKrupa,Sabzi,9,9,"2,330.00",0.00,0.00,"2,330.00"
SadguruKrupa,"Thai Starters",3,3,730.00,0.00,0.00,730.00
